Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
Adamantina ,"Alameda dos Expedicionários, 864 - Centro - Adamantina - 17800-000 ","Alameda dos Expedicionários, 864 - Centro - Adamantina - 17800-000 ",10,10
Aguaí ,"Av. Olinda Silveira Cruz Braga, 200 - Parque Interlagos - Aguaí - 13860-000 ","Av. Olinda Silveira Cruz Braga, 200 - Parque Interlagos - Aguaí - 13860-000 ",10,10
Agudos ,"R. João Pessoa, 2 - Professor Simões - Agudos   17120-000 ","R. João Pessoa, 2 - Professor Simões - Agudos   17120-000 ",10,10
Altinópolis ,"R. Alagoas, 248 - Vila Maria - Altinópolis   14350-000 ","R. Alagoas, 248 - Vila Maria - Altinópolis   14350-000 ",10,10
Alumínio ,"Av. Senador José Ermírio de Moraes, 798 - Vila Industrial - Alumínio   18125-000 ","Av. Senador José Ermírio de Moraes, 798 - Vila Industrial - Alumínio   18125-000 ",10,10
Alvinlandia,"R. Vereador Antonio Teruel, 670 - Centro - Alvinlandia - 17430- 000 ","R. Vereador Antonio Teruel, 670 - Centro - Alvinlandia - 17430- 000 ",10,10
Americana ,"R. das Hortências, 1555 - Cidade Jardim - Americana - 13467- 190 ","R. das Hortências, 1555 - Cidade Jardim - Americana - 13467- 190 ",50,50
Américo Brasiliense ,"Av. Nove de Julho, 192 - Centro - Américo Brasiliense - 14820- 000 ","Av. Nove de Julho, 192 - Centro - Américo Brasiliense - 14820- 000 ",10,10
Amparo ,"R. Gustavo de Souza, 108 - Ribeirão Amparo - Amparo - 13904- 903 ","R. Gustavo de Souza, 108 - Ribeirão Amparo - Amparo - 13904- 903 ",25,25
Andradina ,"R. Humberto de Campos, 229 - Centro - Andradina   16901-012 ","R. Humberto de Campos, 229 - Centro - Andradina   16901-012 ",20,20
Anhembi ,"R. Prefeito Spedito Scalise , S/N - Morada do Sol - Anhembi - 18620-000 ","R. Prefeito Spedito Scalise , S/N - Morada do Sol - Anhembi - 18620-000 ",10,10
Aparecida ,"Praça Pe. Victor Coelho de Almeida, 100 - Jardim São Paulo - Aparecida   12570-000 ","Praça Pe. Victor Coelho de Almeida, 100 - Jardim São Paulo - Aparecida   12570-000 ",10,10
Apiaí ,"R. Amarildo Gorgonha da Silva, 112 - Centro - Apiaí   18320-000 ","R. Amarildo Gorgonha da Silva, 112 - Centro - Apiaí   18320-000 ",10,10
Araçariguama ,"R. Amelia da Costa e Silva, 66 - Jardim Bela Vista - Aracariguama   18147-000 ","R. Amelia da Costa e Silva, 66 - Jardim Bela Vista - Aracariguama   18147-000 ",10,10
Araçatuba ,"R. Conselheiro Crispiniano, 550 - Jardim Alvorada - Araçatuba - 16016-090 ","R. Conselheiro Crispiniano, 550 - Jardim Alvorada - Araçatuba - 16016-090 ",40,40
Araçoiaba da Serra ,"R. Professor Toledo, 756 - Centro - Araçoiaba da Serra - 18190- 000 ","R. Professor Toledo, 756 - Centro - Araçoiaba da Serra - 18190- 000 ",10,10
Arandu ,"Av. José Serezin, 800 - Jardim Maria Sodré - Arandu - 18710- 000 ","Av. José Serezin, 800 - Jardim Maria Sodré - Arandu - 18710- 000 ",10,10
Araraquara ,"Av. Romulo Lupo, 775 - Jardim Universal - Araraquara - 14801- 700 ","Av. Romulo Lupo, 775 - Jardim Universal - Araraquara - 14801- 700 ",50,50
Araras ,"Av. Nestlé, 58 - Vila Michelin - Araras   13601-005 ","Av. Nestlé, 58 - Vila Michelin - Araras   13601-005 ",35,35
Arealva ,"Av. Prefeito Adelino Mendonça, S/N - Centro - Arealva - 17160- 000 ","Av. Prefeito Adelino Mendonça, S/N - Centro - Arealva - 17160- 000 ",10,10
Areias ,"Av. Siqueira Campos, 501 - Centro - Areias   12820-000 ","Av. Siqueira Campos, 501 - Centro - Areias   12820-000 ",10,10
Artur Nogueira ,"R. XV de Novembro, 1400 - Jardim Planalto - Artur Nogueira - 13160-000 ","R. XV de Novembro, 1400 - Jardim Planalto - Artur Nogueira - 13160-000 ",20,20
Arujá ,"R. Mamede Barbosa, 105 - Centro - Arujá - 07400 - 820 ","R. Mamede Barbosa, 105 - Centro - Arujá - 07400 - 820 ",30,30
Assis ,"Av. Getúlio Vargas, 1200 - Vila Nova Santana - Assis - 19807- 130 ","Av. Getúlio Vargas, 1200 - Vila Nova Santana - Assis - 19807- 130 ",35,35
Atibaia ,"Av. Doutor Joviano Alvim, 112 - Alvinópolis - Atibaia   12942-613 ","Av. Doutor Joviano Alvim, 112 - Alvinópolis - Atibaia   12942-613 ",35,35
Avaré ,"R. Doutor Antônio Ferreira Inocêncio, 394 - Vila Martins II - Avaré   18701-510 ","R. Doutor Antônio Ferreira Inocêncio, 394 - Vila Martins II - Avaré   18701-510 ",30,30
Bady Bassitt ,"R. Fernando Correia Pires, 500 - Colina Sul II - Bady Bassitt - 15115-000 ","R. Fernando Correia Pires, 500 - Colina Sul II - Bady Bassitt - 15115-000 ",10,10
Bananal ,"R. Leon Gilson, 33 - Centro - Bananal   12850-000 ","R. Leon Gilson, 33 - Centro - Bananal   12850-000 ",10,10
Bariri ,"R. Regina Pizza Beltrame, 126 - Jardim Panorama - Bariri - 17250-000 ","R. Regina Pizza Beltrame, 126 - Jardim Panorama - Bariri - 17250-000 ",10,10
Barra Bonita ,"R. Carlos Tozelli, 07 - COHAB Coronel José Victorino de França  - Barra Bonita   17340-000 ","R. Carlos Tozelli, 07 - COHAB Coronel José Victorino de França  - Barra Bonita   17340-000 ",10,10
Barretos ,"R. 21 de Abril, 240 - Derby Club - Barretos   14787-240 ","R. 21 de Abril, 240 - Derby Club - Barretos   14787-240 ",35,35
Barrinha,"R. Francisco Osaki, 90 - Conj. Albertina Fossalussa - Barrinha - 14860-000 ","R. Francisco Osaki, 90 - Conj. Albertina Fossalussa - Barrinha - 14860-000 ",10,10
Barueri ,"Av. Andrômeda, 500 - Alphaville - Barueri   06473-000 ","Av. Andrômeda, 500 - Alphaville - Barueri   06473-000 ",50,50
Bastos ,"R. Almirante Alexandrino, 622 - Centro - Bastos   17690-000 ","R. Almirante Alexandrino, 622 - Centro - Bastos   17690-000 ",10,10
Bauru,"Av. Duque de Caxias, 16 - Higienópolis - Bauru   17011-020 ","Av. Duque de Caxias, 16 - Higienópolis - Bauru   17011-020 ",50,50
Bernardino de Campos ,"Praça da Bandeira, 270 - Centro - Bernardino de Campos - 18960-000 ","Praça da Bandeira, 270 - Centro - Bernardino de Campos - 18960-000 ",10,10
Bertioga ,"Av. Tomé de Souza, 11833 - Indaiá - Bertioga   11250-000 ","Av. Tomé de Souza, 11833 - Indaiá - Bertioga   11250-000 ",20,20
Biritiba Mirim ,"R. Maria Gema Melo de Oliveira, 250 - Jardim Yoneda - Biritiba- Mirim   08940-000 ","R. Maria Gema Melo de Oliveira, 250 - Jardim Yoneda - Biritiba- Mirim   08940-000 ",10,10
Boa Esperança do Sul ,"R. Manoel de Marins, 585 - Centro - Boa Esperança do Sul - 14930-000 ","R. Manoel de Marins, 585 - Centro - Boa Esperança do Sul - 14930-000 ",10,10
Bocaina ,"R. 7 de Setembro, 178 - Centro - Bocaina   17240-000 ","R. 7 de Setembro, 178 - Centro - Bocaina   17240-000 ",10,10
Boituva ,"R. São Marcos, 455 - Parque Nossa Senhora das Graças - Boituva   18550-000 ","R. São Marcos, 455 - Parque Nossa Senhora das Graças - Boituva   18550-000 ",20,20
Bom Jesus dos Perdões ,"Av. Eliseu Correa Dias, 325 - Jardim Belo Horizonte - Bom Jesus dos Perdões   12955-000 ","Av. Eliseu Correa Dias, 325 - Jardim Belo Horizonte - Bom Jesus dos Perdões   12955-000 ",10,10
Borborema ,"R. José Theodoro Puzzi, 515 - Vila Mariana - Borborema - 14955-000 ","R. José Theodoro Puzzi, 515 - Vila Mariana - Borborema - 14955-000 ",10,10
Botucatu ,"Praça Dom Luiz Maria de Sant'Ana, 215 - Centro - Botucatu - 18600-311 ","Praça Dom Luiz Maria de Sant'Ana, 215 - Centro - Botucatu - 18600-311 ",35,35
Bragança Paulista ,"R. das Indústrias, 130 - Uberaba - Bragança Paulista - 12926- 674 ","R. das Indústrias, 130 - Uberaba - Bragança Paulista - 12926- 674 ",40,40
Braúna ," Av. Barão do Rio Branco, 465 - Braúna - SP 16290-000 ","Av. Barão do Rio Branco, 465 - Centro - Braúna   16290-000 ",10,10
Brodowski ,"R. Carlos Chagas, 590 - Nosa Senhora das Graças - Brodowski - 14340-000 ","R. Carlos Chagas, 590 - Nosa Senhora das Graças - Brodowski - 14340-000 ",10,10
Cabreúva ,"Via das Palmas, 101 - Pinhal - Cabreúva   13315-000 ","Via das Palmas, 101 - Pinhal - Cabreúva   13315-000 ",15,15
Caçapava ,"R. André Santos de Oliveira Lima, 15 - Vila André Martins - Caçapava   12280-096 ","R. André Santos de Oliveira Lima, 15 - Vila André Martins - Caçapava   12280-096 ",35,35
Cachoeira Paulista ,"R. Doutor Bernardino de Campos, 130 - Centro - Cachoeira Paulista   12630-000 ","R. Doutor Bernardino de Campos, 130 - Centro - Cachoeira Paulista   12630-000 ",10,10
Caconde ,"Praça Coronel Gustavo Ribeiro, 92 - Caconde - Caconde - 13770-000 ","Praça Coronel Gustavo Ribeiro, 92 - Caconde - Caconde - 13770-000 ",10,10
Cafelândia ,"Pátio da Estação - 01, S/N - Cafelândia - Cafelândia   16500-000 ","Pátio da Estação - 01, S/N - Cafelândia - Cafelândia   16500-000 ",10,10
Caieiras ,"Praça Cláudio Manoel da Costa, S/N - Laranjeiras - Caieiras - 07739-075 ","Praça Cláudio Manoel da Costa, S/N - Laranjeiras - Caieiras - 07739-075 ",35,35
Cajamar ,"R. Pedro Domingues, S/N - Centro - Cajamar   07750-830 ","R. Pedro Domingues, S/N - Centro - Cajamar   07750-830 ",25,25
Cajati ,"R. Roma, 408 - Vila Antunes - Cajati   11950-000 ","R. Roma, 408 - Vila Antunes - Cajati   11950-000 ",10,10
Cajobi ,"R. Olga Bernardes Zanterlini, 320 - Centro - Cajobi   15410-000 ","R. Olga Bernardes Zanterlini, 320 - Centro - Cajobi   15410-000 ",10,10
Campinas ,"R. Doutor Emílio Ribas, 880 - Cambuí - Campinas   13025-141 ","R. Doutor Emílio Ribas, 880 - Cambuí - Campinas   13025-141 ",100,100
Campo Limpo Paulista ,"R. Maria do Carmo, 11 - Vila Cardoso - Campo Limpo Paulista - 13230-450 ","R. Maria do Carmo, 11 - Vila Cardoso - Campo Limpo Paulista - 13230-450 ",30,30
Campos do Jordão ,"R. Miguel Pereira, 235 - Abernéssia - Campos do Jordão - 12460-000 ","R. Miguel Pereira, 235 - Abernéssia - Campos do Jordão - 12460-000 ",15,15
Capão Bonito ,"R. Bernardino de Campos, 477 - Centro - Capão Bonito - 18300- 040 ","R. Bernardino de Campos, 477 - Centro - Capão Bonito - 18300- 040 ",15,15
Capela do Alto ,"Av. Professor Castorino de Almeida, 300 - Centro - Capela do Alto   18157-000 ","Av. Professor Castorino de Almeida, 300 - Centro - Capela do Alto   18157-000 ",10,10
Capivari ,"R. Antônio Ribeiro de Godoy, S/N - Capivari - Capivari - 13360- 000 ","R. Antônio Ribeiro de Godoy, S/N - Capivari - Capivari - 13360- 000 ",20,20
Caraguatatuba ,"R. João Marcelo, 302 - Estrela D´alva - Caraguatatuba - 11660- 600 ","R. João Marcelo, 302 - Estrela D´alva - Caraguatatuba - 11660- 600 ",35,35
Carapicuíba ,"Av. Ernestina Vieira, 149 - Vila Dirce - Carapicuíba - 06382 - 260 ","Av. Ernestina Vieira, 149 - Vila Dirce - Carapicuíba - 06382 - 260 ",50,50
Casa Branca ,"Av. Renato Pistelli, 810 - Centro - Casa Branca   13700-000 ","Av. Renato Pistelli, 810 - Centro - Casa Branca   13700-000 ",10,10
Catanduva ,"Av. Daniel Dalto, S/N - Expansão 1 - Catanduva   15811-044 ","Av. Daniel Dalto, S/N - Expansão 1 - Catanduva   15811-044 ",35,35
Cerqueira César ,"Rod. Donato Francisco Sassi, Km 5 - Macucão - Cerqueira César   18760-000 ","Rod. Donato Francisco Sassi, Km 5 - Macucão - Cerqueira César   18760-000 ",10,10
Cerquilho ,"Av. Corradi II, 380 - Centro - Cerquilho   18520-000 ","Av. Corradi II, 380 - Centro - Cerquilho   18520-000 ",15,15
Cesário Lange ,"R. Camargo Barros, 1210 - Centro - Cesário Lange   18285-000 ","R. Camargo Barros, 1210 - Centro - Cesário Lange   18285-000 ",10,10
Charqueada ,"R. Querubim Ferreira de Almeida, 251 - Jardim Gelsomina - Charqueada   13515-000 ","R. Querubim Ferreira de Almeida, 251 - Jardim Gelsomina - Charqueada   13515-000 ",10,10
Chavantes ,"R. Maestro Carlos Gomes, 399 - Centro - Chavantes - 18970- 000 ","R. Maestro Carlos Gomes, 399 - Centro - Chavantes - 18970- 000 ",10,10
Colina ,"Praça Lamounier de Andrade, 101 - Centro - Colina   14770-000 ","Praça Lamounier de Andrade, 101 - Centro - Colina   14770-000 ",10,10
Conchal ,"R. Álvaro Ribeiro, 287 - Centro - Conchal   13835-000 ","R. Álvaro Ribeiro, 287 - Centro - Conchal   13835-000 ",10,10
Conchas ,"R. Bahia, 78 - Centro - Conchas   18570-000 ","R. Bahia, 78 - Centro - Conchas   18570-000 ",10,10
Cordeirópolis ,"R. Galdino de Souza Barbosa, 400 - Jardim Cordeiro - Cordeirópolis   13490-000 ","R. Galdino de Souza Barbosa, 400 - Jardim Cordeiro - Cordeirópolis   13490-000 ",10,10
Cosmópolis ,"Av. da Saudade, 528 - Vila José Kalil Aun - Cosmópolis - 13150- 000 ","Av. da Saudade, 528 - Vila José Kalil Aun - Cosmópolis - 13150- 000 ",25,25
Cravinhos ,"R. Horácio Sabino Coimbra, 577 - Jardim Alvorada - Cravinhos - 14140-000 ","R. Horácio Sabino Coimbra, 577 - Jardim Alvorada - Cravinhos - 14140-000 ",10,10
Cristais Paulista ,"Av. Antônio Prado, 3240 - Centro - Cristais Paulista   14460-000 ","Av. Antônio Prado, 3240 - Centro - Cristais Paulista   14460-000 ",10,10
Cruzeiro ,"R. Doutor José Rodrigues Alves Sobrinho, 191 - Vila Sueli - Cruzeiro   12711-690 ","R. Doutor José Rodrigues Alves Sobrinho, 191 - Vila Sueli - Cruzeiro   12711-690 ",30,30
Cubatão ,"Av. Doutor Fernando Costa, 1096 - Costa - Cubatão   11510-310 ","Av. Doutor Fernando Costa, 1096 - Costa - Cubatão   11510-310 ",35,35
Cunha ,"Ladeira Vinte de Abril, S/N - Centro - Cunha   12530-000 ","Ladeira Vinte de Abril, S/N - Centro - Cunha   12530-000 ",10,10
Diadema ,"R. Lauro Michels, 30 - Centro - Diadema   09910-970 ","R. Lauro Michels, 30 - Centro - Diadema   09910-970 ",50,50
Dois Córregos ,"Av. Vasco da Gama, 164 - Jardim Arco - Dois Córregos - 17300- 000 ","Av. Vasco da Gama, 164 - Jardim Arco - Dois Córregos - 17300- 000 ",10,10
Dourado ,"R. José Bustani, 600 - Jardim Paulista - Dourado   13590-000 ","R. José Bustani, 600 - Jardim Paulista - Dourado   13590-000 ",10,10
Dracena ,"Av. José Bonifácio, 267 - Vila - Dracena   17900-000 ","Av. José Bonifácio, 267 - Vila - Dracena   17900-000 ",15,15
Dumont,"R. João Negri, 412 - Jd Adelaide - Dumont   14120-000 ","R. João Negri, 412 - Jd Adelaide - Dumont   14120-000 ",10,10
Eldorado ,"R. Padre Joaquim Gabriel, 161 - Centro - Eldorado   11960-000 ","R. Padre Joaquim Gabriel, 161 - Centro - Eldorado   11960-000 ",10,10
Elias Fausto ,"Av. Osvaldo Maluf, 250 - Vila Anchieta - Elias Fausto - 13350- 000 ","Av. Osvaldo Maluf, 250 - Vila Anchieta - Elias Fausto - 13350- 000 ",10,10
Embu das Artes ,"R. Alberto Giosa, 320 - Jardim - Embu das Artes   06803-280 ","R. Alberto Giosa, 320 - Jardim - Embu das Artes   06803-280 ",50,50
Engenheiro Coelho ,"R. Alexandre Bonin, 403 - Jardim do Sol - Engenheiro Coelho - 13165-000 ","R. Alexandre Bonin, 403 - Jardim do Sol - Engenheiro Coelho - 13165-000 ",10,10
Espírito Santo do Pinhal ,"Praça Irmão Estevão Von Herkhnuizen, S/N - Jardim das Rosas  - Espírito Santo do Pinhal   13990-000 ","Praça Irmão Estevão Von Herkhnuizen, S/N - Jardim das Rosas  - Espírito Santo do Pinhal   13990-000 ",15,15
Estiva Gerbi ,"R. José Rodrigues dos Santos, 271 - São José II - Estiva Gerbi - 13857-000 ","R. José Rodrigues dos Santos, 271 - São José II - Estiva Gerbi - 13857-000 ",10,10
Fartura ,"R. Santa Maria, 60 - Vila Nossa Senhora de Fátima - Fartura - 18870-000 ","R. Santa Maria, 60 - Vila Nossa Senhora de Fátima - Fartura - 18870-000 ",10,10
Fernandópolis ,"Av. Litério Grecco, 300 - Jardim São Fernando - Fernandópolis - 15600-000 ","Av. Litério Grecco, 300 - Jardim São Fernando - Fernandópolis - 15600-000 ",25,25
Flora Rica ,"R. Verador Raimundo Antônio de Araújo, 416 - Centro - Flora Rica   17870-000 ","R. Verador Raimundo Antônio de Araújo, 416 - Centro - Flora Rica   17870-000 ",10,10
Flórida Paulista ,"Av. dos Expedicionários, 190 - Centro - Flórida Paulista - 17830- 000 ","Av. dos Expedicionários, 190 - Centro - Flórida Paulista - 17830- 000 ",10,10
Franca ,"Av. Champagnat, 1808 - Centro - Franca   14400-320 ","Av. Champagnat, 1808 - Centro - Franca   14400-320 ",50,50
Francisco Morato ,"R. Virgílio Martins de Oliveira, 824 - Vila Heloísa - Francisco Morato   07914-043 ","R. Virgílio Martins de Oliveira, 824 - Vila Heloísa - Francisco Morato   07914-043 ",40,40
Franco da Rocha ,"R. Cinco de Maio, 97 - Vila Maggi - Franco da Rocha - 07850- 300 ","R. Cinco de Maio, 97 - Vila Maggi - Franco da Rocha - 07850- 300 ",40,40
Garça ,"R. Padre Paulo de Toledo Leite, 411 - Ferrarópolis - Garça - 17400-000 ","R. Padre Paulo de Toledo Leite, 411 - Ferrarópolis - Garça - 17400-000 ",15,15
Gavião Peixoto ,"Alameda Serez, 495 - Centro - Gavião Peixoto   14813-000 ","Alameda Serez, 495 - Centro - Gavião Peixoto   14813-000 ",10,10
Guaíra ,"Av. 1A, 2000 - Conjunto Habitacional Prefeito José Pugliesi - Guaíra   14790-000 ","Av. 1A, 2000 - Conjunto Habitacional Prefeito José Pugliesi - Guaíra   14790-000 ",15,15
Guapiaçu ,"R. Alfredo de Souza Barbeiro, 280 - Ribeirão Claro - Guapiaçu - 15110-000 ","R. Alfredo de Souza Barbeiro, 280 - Ribeirão Claro - Guapiaçu - 15110-000 ",10,10
Guara,"R. João Carlos Figueiredo, 11 - Centro - Guara   14580-000 ","R. João Carlos Figueiredo, 11 - Centro - Guara   14580-000 ",10,10
Guaraci ,"Praça Oscar Baptista de Carvalho, 657 - Centro - Guaraci - 15420-000 ","Praça Oscar Baptista de Carvalho, 657 - Centro - Guaraci - 15420-000 ",10,10
Guararapes ,"R. José Dalla Pria, 177 - Jardim Continental - Guararapes - 16.700-000 ","R. José Dalla Pria, 177 - Jardim Continental - Guararapes - 16.700-000 ",10,10
Guararema ,"R. Doutor Armindo, 567 - Nogueira - Guararema   08900-000 ","R. Doutor Armindo, 567 - Nogueira - Guararema   08900-000 ",10,10
Guaratinguetá ,"Praça Condessa de Frontin, 76 - Centro - Guaratinguetá - 12500-180 ","Praça Condessa de Frontin, 76 - Centro - Guaratinguetá - 12500-180 ",35,35
Guareí ,"R. Tiradentes, 100 - Centro - Guareí   18250-000 ","R. Tiradentes, 100 - Centro - Guareí   18250-000 ",10,10
Guariba ,"R. Rui Barbosa, 1244 - Jardim Progresso - Guariba   14840-000 ","R. Rui Barbosa, 1244 - Jardim Progresso - Guariba   14840-000 ",10,10
Guarujá ,"Av. Adriano Dias dos Santos, 611 - Jardim Boa Esperança - Guarujá   11470-220 ","Av. Adriano Dias dos Santos, 611 - Jardim Boa Esperança - Guarujá   11470-220 ",50,50
Guarulhos ,"Av. Monteiro Lobato, 734 - Macedo - Guarulhos   07112-000 ","Av. Monteiro Lobato, 734 - Macedo - Guarulhos   07112-000 ",50,50
Herculandia,"R. XV de Novembro, 331 - Centro - Herculandia   17650-000 ","R. XV de Novembro, 331 - Centro - Herculandia   17650-000 ",10,10
Hortolândia ,"R. Capitão Lourival Mey, 750 - Jardim Santana - Hortolândia - 13184-470 ","R. Capitão Lourival Mey, 750 - Jardim Santana - Hortolândia - 13184-470 ",50,50
Iacanga ,"R. Antonio Trentim, 263 - Jardim Paraíso - Iacanga   17180-000 ","R. Antonio Trentim, 263 - Jardim Paraíso - Iacanga   17180-000 ",10,10
Ibirá ,"R. Ibirá, 896 - Centro - Ibirá   15860-000 ","R. Ibirá, 896 - Centro - Ibirá   15860-000 ",10,10
Ibitinga ,"R. Capitão João Marques, 80 - Marques - Ibitinga   14940-000 ","R. Capitão João Marques, 80 - Marques - Ibitinga   14940-000 ",20,20
Ibiúna ,"R. Raimundo Santiago, 30 2º piso - Centro - Ibiúna   18150-000 ","R. Raimundo Santiago, 30 2º piso - Centro - Ibiúna   18150-000 ",25,25
Igaraçu do Tietê ,"R. Virgílio Tuschi, 200 - Cohab - Igaraçu do Tietê   17350-000 ","R. Virgílio Tuschi, 200 - Cohab - Igaraçu do Tietê   17350-000 ",10,10
