Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
Igarapava ,"R. Azarias Arantes, S/N - Prédio PUAMI - Igarapava   14540-000 ","R. Azarias Arantes, S/N - Prédio PUAMI - Igarapava   14540-000 ",10,10
Igaratá ,"R. José de Souza Palau, S/N - Jardim Rosa Helena - Igaratá - 12350-000 ","R. José de Souza Palau, S/N - Jardim Rosa Helena - Igaratá - 12350-000 ",10,10
Iguape ,"Rod. Prefeito Casemiro Teixeira, 450 - Teixeira - Iguape - 11920- 000 ","Rod. Prefeito Casemiro Teixeira, 450 - Teixeira - Iguape - 11920- 000 ",10,10
Ilha Comprida ,"R. Bermudas, 531 - Balneário Monte Carlo - Ilha Comprida - 11925-000 ","R. Bermudas, 531 - Balneário Monte Carlo - Ilha Comprida - 11925-000 ",10,10
Ilha Solteira ,"R. Parati, 513 - Zona Sul - Ilha Solteira   15385-000 ","R. Parati, 513 - Zona Sul - Ilha Solteira   15385-000 ",10,10
Ilhabela ,"Av. Professor Malaquias de Oliveira Freitas, 95 - Barra Velha - Ilhabela   11630-000 ","Av. Professor Malaquias de Oliveira Freitas, 95 - Barra Velha - Ilhabela   11630-000 ",10,10
Indaiatuba ,"R. Dom Pedro I, 65 - Cidade Nova - Indaiatuba   13334-100 ","R. Dom Pedro I, 65 - Cidade Nova - Indaiatuba   13334-100 ",50,50
Ipaussu ,"R. Domingos Fernandes, 240 - Centro - Ipaussú   18950-000 ","R. Domingos Fernandes, 240 - Centro - Ipaussú   18950-000 ",10,10
Iperó ,"R. Luiz Rossi, 107 - Jardim Irene - Iperó   18560-000 ","R. Luiz Rossi, 107 - Jardim Irene - Iperó   18560-000 ",10,10
Ipeúna ,"R. Araripe Custódio da Fonseca, 775 - Altos de Ipeúna - Ipeúna - 13537-000 ","R. Araripe Custódio da Fonseca, 775 - Altos de Ipeúna - Ipeúna - 13537-000 ",10,10
Iporanga ,"R. Pedro Silva, S/N - Centro - Iporanga   18330-000 ","R. Pedro Silva, S/N - Centro - Iporanga   18330-000 ",10,10
Itaberá ,"R. Josephina Silva Melo, 365 - Centro - Itaberá   18440-000 ","R. Josephina Silva Melo, 365 - Centro - Itaberá   18440-000 ",10,10
Itaí ,"R. Abílio Raposo Ferraz, 405 - Vila Jardim Brasil - Itaí - 18730- 000 ","R. Abílio Raposo Ferraz, 405 - Vila Jardim Brasil - Itaí - 18730- 000 ",10,10
Itajobi ,"R. Cincinato Braga, 240 - Centro - Itajobi   15840-000 ","R. Cincinato Braga, 240 - Centro - Itajobi   15840-000 ",10,10
Itaju,"R. Antonio de Antonio, 70 - Centro - Itaju   17260-000 ","R. Antonio de Antonio, 70 - Centro - Itaju   17260-000 ",10,10
Itanhaém ,"Av. Condessa de Vimieiros, 1131 - Centro - Itanhaém - 11740- 000 ","Av. Condessa de Vimieiros, 1131 - Centro - Itanhaém - 11740- 000 ",35,35
Itaoca ,"R. Sete de Setembro, 11 - Centro - Itaoca   18360-000 ","R. Sete de Setembro, 11 - Centro - Itaoca   18360-000 ",10,10
Itapecerica da Serra ,"R. São João, 47 - Centro - Itapecerica da Serra   06850-060 ","R. São João, 47 - Centro - Itapecerica da Serra   06850-060 ",40,40
Itapetininga ,"Av. Dr Cyro de Albuquerque, 4750 - Taboãozinho - Itapetininga - 18213-615 ","Av. Dr Cyro de Albuquerque, 4750 - Taboãozinho - Itapetininga - 18213-615 ",40,40
Itapeva ,"R. Lucas de Camargo, 419 - Camargo - Itapeva   18400-340 ","R. Lucas de Camargo, 419 - Camargo - Itapeva   18400-340 ",35,35
Itapevi ,"R. Professor Irineu Chaluppe, 65 - Chaluppe - Itapevi - 06653- 180 ","R. Professor Irineu Chaluppe, 65 - Chaluppe - Itapevi - 06653- 180 ",50,50
Itápolis ,"R. Rodrigues Alves, 1703 - Cecap - Itápolis   14900-000 ","R. Rodrigues Alves, 1703 - Cecap - Itápolis   14900-000 ",15,15
Itaporanga,"R. João Scotti Siqueira, 535 - Vila Alvorada - Itaporanga - 18480- 000 ","R. João Scotti Siqueira, 535 - Vila Alvorada - Itaporanga - 18480- 000 ",10,10
Itapuí ,"Av. Paes de Barros, 262 - Centro - Itapuí   17.230-000 ","Av. Paes de Barros, 262 - Centro - Itapuí   17.230-000 ",10,10
Itaquaquecetub a ,"R. MMDC, 92 - Centro - Itaquaquecetuba   08570-007 ","R. MMDC, 92 - Centro - Itaquaquecetuba   08570-007 ",50,50
Itarare,"R. 28 de Agosto, 405 - Centro - Itarare   18460-000 ","R. 28 de Agosto, 405 - Centro - Itarare   18460-000 ",15,15
Itariri ,"R. Nabe Kian, 60 - Continental - Itariri   11760-000 ","R. Nabe Kian, 60 - Continental - Itariri   11760-000 ",10,10
Itatiba,"Av. Urbano Bezana, S/N - Porto Seguro - Itatiba   13255-650 ","Av. Urbano Bezana, S/N - Porto Seguro - Itatiba   13255-650 ",35,35
Itu ,"Av. Tiradentes, 1211 - Parque - Itu   13309-640 ","Av. Tiradentes, 1211 - Parque - Itu   13309-640 ",40,40
Itupeva ,"R. Mairinque, 715 - Residencial Pacaembú I - Itupeva - 13295- 000 ","R. Mairinque, 715 - Residencial Pacaembú I - Itupeva - 13295- 000 ",20,20
Ituverava ,"R. Xaraies, 50 - Jardim Marajoara - Ituverava   14500-000 ","R. Xaraies, 50 - Jardim Marajoara - Ituverava   14500-000 ",15,15
Jaboticabal ,"R. General Osório, 215 - Centro - Jaboticabal   14870-050 ","R. General Osório, 215 - Centro - Jaboticabal   14870-050 ",25,25
Jacareí ,"R. Faria Lima, 155 - Jardim Santa Maria - Jacareí   12328-070 ","R. Faria Lima, 155 - Jardim Santa Maria - Jacareí   12328-070 ",50,50
Jacupiranga ,"Av. 23 de Junho, 649 - Vila Elias - Jacupiranga   11940-000 ","Av. 23 de Junho, 649 - Vila Elias - Jacupiranga   11940-000 ",10,10
Jaguariúna ,"R. Bahia, 140 - Jardim São João - Jaguariúna   13911-454 ","R. Bahia, 140 - Jardim São João - Jaguariúna   13911-454 ",20,20
Jambeiro ,"R. Coronel Batista, 267 - Centro - Jambeiro   12270-000 ","R. Coronel Batista, 267 - Centro - Jambeiro   12270-000 ",10,10
Jandira ,"R. Francisco de Araujo Chaves, 120 - Araujo - Jandira - 06626- 020 ","R. Francisco de Araujo Chaves, 120 - Araujo - Jandira - 06626- 020 ",35,35
Jaú ,"R. Quintino Bocaiuva, 532 - Centro - Jaú   17201-470 ","R. Quintino Bocaiuva, 532 - Centro - Jaú   17201-470 ",40,40
José Bonifácio ,"Av. Nove de Julho, 170 - Centro - José Bonifácio   15200-000 ","Av. Nove de Julho, 170 - Centro - José Bonifácio   15200-000 ",10,10
Juquiá ,"R. Rio Grande do Sul, 120 - Parque Nacional - Juquiá - 11800- 000 ","R. Rio Grande do Sul, 120 - Parque Nacional - Juquiá - 11800- 000 ",10,10
Juquitiba ,"Av. Juscelino Kubitschek de Oliveira, 90 - Centro - Juquitiba - 06950-000 ","Av. Juscelino Kubitschek de Oliveira, 90 - Centro - Juquitiba - 06950-000 ",10,10
Lagoinha ,"R. Agostinho Ribeiro dos Santos, 230 - Centro - Lagoinha - 12130-000 ","R. Agostinho Ribeiro dos Santos, 230 - Centro - Lagoinha - 12130-000 ",10,10
Laranjal Paulista ,"R. General Osório, 50 - Centro - Laranjal Paulista   18500-000 ","R. General Osório, 50 - Centro - Laranjal Paulista   18500-000 ",10,10
Leme ,"R. Emílio Violin, 194 - Bela Vista - Leme   13611-412 ","R. Emílio Violin, 194 - Bela Vista - Leme   13611-412 ",35,35
Lençóis Paulista ,"Av. Lázaro Brigido Dutra, 2000 - Jardim Ibaté - Lençóis Paulista - 18682-335 ","Av. Lázaro Brigido Dutra, 2000 - Jardim Ibaté - Lençóis Paulista - 18682-335 ",25,25
Limeira ,"R. Piauí, 472 - Vila Cláudia - Limeira   13480-406 ","R. Piauí, 472 - Vila Cláudia - Limeira   13480-406 ",50,50
Lins ,"Estrada Mário Covas Junior (Lins Guaimbê), km 1 - Vila Guararapes - Lins   16403-025 ","Estrada Mário Covas Junior (Lins Guaimbê), km 1 - Vila Guararapes - Lins   16403-025 ",25,25
Lorena ,"Av. São José, 150 - Vila Buck - Lorena   12600-560 ","Av. São José, 150 - Vila Buck - Lorena   12600-560 ",30,30
Louveira ,"R. Pasquel Dinofre, 82 - Santo Antônio - Louveira   13290-000 ","R. Pasquel Dinofre, 82 - Santo Antônio - Louveira   13290-000 ",15,15
Lucélia ,"R. Eduardo Rapacci, 475 - Centro - Lucélia   17780-000 ","R. Eduardo Rapacci, 475 - Centro - Lucélia   17780-000 ",10,10
Luiz Antônio ,"Av. Independência, 369 - Centro - Luiz Antônio   14210-000 ","Av. Independência, 369 - Centro - Luiz Antônio   14210-000 ",10,10
Macatuba,"R. Capitão Salvador Mariano de Pontes, 160 - Centro - Macatuba   17290-000 ","R. Capitão Salvador Mariano de Pontes, 160 - Centro - Macatuba   17290-000 ",10,10
Mairinque ,"Av. Doutor Ricardo Gaspar Júnior, 172 - Centro - Mairinque - 18120-000 ","Av. Doutor Ricardo Gaspar Júnior, 172 - Centro - Mairinque - 18120-000 ",15,15
Mairiporã ,"Av. Tabelião Passarela, 850 - Centro - Mairiporã   07600-000 ","Av. Tabelião Passarela, 850 - Centro - Mairiporã   07600-000 ",35,35
Maracaí ,"Av. São Paulo, 885 - Centro - Maracaí   19840-000 ","Av. São Paulo, 885 - Centro - Maracaí   19840-000 ",10,10
Marília ,"Av. Monte Carmelo, 800 - Fragata - Marília   17519-030 ","Av. Monte Carmelo, 800 - Fragata - Marília   17519-030 ",50,50
Matão ,"Av. Daniel Antônio de Brito, 241 - Nova Matão - Matão - 15990- 560 ","Av. Daniel Antônio de Brito, 241 - Nova Matão - Matão - 15990- 560 ",30,30
Mauá ,"Núcleo - Rua Cincinato Braga, R. São João, 876 A, Mauá - SP, 09340-480","R. São João, 183 - Núcleo Cincinato Braga - Mauá   09310-380 ",50,50
Mineiros do Tietê ,"R. Municipal, 445 - Centro - Mineiros do Tietê   17320-000 ","R. Municipal, 445 - Centro - Mineiros do Tietê   17320-000 ",10,10
Miracatu ,"Av. Dona Evarista de Castro Ferreira, 08 - Centro - Miracatu - 11850-000 ","Av. Dona Evarista de Castro Ferreira, 08 - Centro - Miracatu - 11850-000 ",10,10
Mirante do Paranapanema ,"Av. Joaquim Juca de Góes, 882 - Centro - Mirante do Paranapanema - 19260 - 000 ","Av. Joaquim Juca de Góes, 882 - Centro - Mirante do Paranapanema - 19260 - 000 ",10,10
Mococa ,"Av. Dr. Américo Pereira Lima, S/N - Pereira - Mococa - 13736- 260 ","Av. Dr. Américo Pereira Lima, S/N - Pereira - Mococa - 13736- 260 ",25,25
Mogi das Cruzes ,"R. Antenor Leite da Cunha, 55 - Nova Mogilar - Mogi das Cruzes  - 08773-395 ","R. Antenor Leite da Cunha, 55 - Nova Mogilar - Mogi das Cruzes  - 08773-395 ",50,50
Mogi Mirim ,"R. Ariovaldo Silveira Franco, 567 - Franco - Mogi Mirim - 13801- 005 ","R. Ariovaldo Silveira Franco, 567 - Franco - Mogi Mirim - 13801- 005 ",30,30
Monte Alto ,"Av. Maria Deamo Tarraga, 221 - Real Paraíso - Monte Alto - 15910-000 ","Av. Maria Deamo Tarraga, 221 - Real Paraíso - Monte Alto - 15910-000 ",15,15
Monte Azul Paulista,"Praça Macedo Soares, 13 - Centro - Monte Azul Paulista - 14730-000 ","Praça Macedo Soares, 13 - Centro - Monte Azul Paulista - 14730-000 ",10,10
Monte Mor ,"R. Chequer Assis, 232 - Centro - Monte Mor - 13190000 ","R. Chequer Assis, 232 - Centro - Monte Mor - 13190000 ",20,20
Morro Agudo ,"R. Barão do Rio Branco, 722 - Centro - Morro Agudo - 14640- 000 ","R. Barão do Rio Branco, 722 - Centro - Morro Agudo - 14640- 000 ",10,10
Morungaba ,"R. Treze de Maio, 540 - Santo Antônio - Morungaba   13260-000 ","R. Treze de Maio, 540 - Santo Antônio - Morungaba   13260-000 ",10,10
Motuca,"R. São Luiz, 121 - Centro - Motuca   14835-000 ","R. São Luiz, 121 - Centro - Motuca   14835-000 ",10,10
Murutinga do Sul ,"R. Antônio Calestini, 316 - Centro - Murutinga do Sul - 16950- 000 ","R. Antônio Calestini, 316 - Centro - Murutinga do Sul - 16950- 000 ",10,10
Narandiba ,"R. Maira Conceição Cassiano, 499 - São Francisco - Narandiba - 19220-000 ","R. Maira Conceição Cassiano, 499 - São Francisco - Narandiba - 19220-000 ",10,10
Nova Granada ,"R. Julio Frasson, 512 - Estação - Nova Granada   15440-000 ","R. Julio Frasson, 512 - Estação - Nova Granada   15440-000 ",10,10
Novo Horizonte ,"Alameda Roberto Dela Togna, 1233 - Togna - Novo Horizonte - 14960-000 ","Alameda Roberto Dela Togna, 1233 - Togna - Novo Horizonte - 14960-000 ",15,15
Olímpia ,"R. Bernardino de Campos, 366 - Centro - Olímpia   15400-000 ","R. Bernardino de Campos, 366 - Centro - Olímpia   15400-000 ",20,20
Orlandia,"Av. M, 980 - Jardim Siena - Orlandia   14620-000 ","Av. M, 980 - Jardim Siena - Orlandia   14620-000 ",15,15
Osasco ,"R. Marechal Rondon, 263 - Centro - Osasco   06093-020 ","R. Marechal Rondon, 263 - Centro - Osasco   06093-020 ",100,100
Ourinhos ,"Av. Vitalina Marcusso, 1400 - Campo - Ourinhos   19910-206 ","Av. Vitalina Marcusso, 1400 - Campo - Ourinhos   19910-206 ",35,35
Ouroeste ,"Av. dos Bandeirantes, 2050 - Centro - Ouroeste   15685-000 ","Av. dos Bandeirantes, 2050 - Centro - Ouroeste   15685-000 ",10,10
Pacaembu ,"R. Amador Rodrigues, 349 - Vila - Pacaembu   17860-000 ","R. Amador Rodrigues, 349 - Vila - Pacaembu   17860-000 ",10,10
Paraguaçu Paulista ,"R. Prefeito Jaime Monteiro, 796 - Monteiro - Paraguaçu Paulista  - 19700-000 ","R. Prefeito Jaime Monteiro, 796 - Monteiro - Paraguaçu Paulista  - 19700-000 ",15,15
Paraibuna ,"R. Geraldo Santana, 55 - Centro - Paraibuna   12260-000 ","R. Geraldo Santana, 55 - Centro - Paraibuna   12260-000 ",10,10
Paranapanema ,"Av. das Posses, 279 - Distrito de Campos de Holambra - Paranapanema   18725-000 ","Av. das Posses, 279 - Distrito de Campos de Holambra - Paranapanema   18725-000 ",10,10
Paulistania,"R. Iderme Tenca Junior, 39 - Vila Manoel - Paulistania - 17150- 000 ","R. Iderme Tenca Junior, 39 - Vila Manoel - Paulistania - 17150- 000 ",10,10
Paulo de Faria,"Av. Joaquim Correa de Morais, 730 - Centro - Paulo de Faria - 15490-000 ","Av. Joaquim Correa de Morais, 730 - Centro - Paulo de Faria - 15490-000 ",10,10
Pederneiras ,"Av. Paulista (complemento Sul), 377 - Centro - Pederneiras - 17280-000 ","Av. Paulista (complemento Sul), 377 - Centro - Pederneiras - 17280-000 ",15,15
Pedreira ,"R. João Lúcio de Moraes, 270 - Jardim Triunfo - Pedreira - 13920-000 ","R. João Lúcio de Moraes, 270 - Jardim Triunfo - Pedreira - 13920-000 ",15,15
Pedro de Toledo ,"R. Vasconcelos, 345 - Centro - Pedro de Toledo   11790-000 ","R. Vasconcelos, 345 - Centro - Pedro de Toledo   11790-000 ",10,10
Penápolis ,"Av. Goiás, 448 - Vila América - Penápolis   16300-000 ","Av. Goiás, 448 - Vila América - Penápolis   16300-000 ",20,20
Pereiras ,"R. Carlos Muccini, 123 - Centro - Pereiras   18580-000 ","R. Carlos Muccini, 123 - Centro - Pereiras   18580-000 ",10,10
Peruíbe ,"Av. São João, 635 - Centro - Peruíbe   11750-000 ","Av. São João, 635 - Centro - Peruíbe   11750-000 ",25,25
Piacatu ,"R. Antonio Gomes Jardim, 101 - Centro - Piacatu   16230-000 ","R. Antonio Gomes Jardim, 101 - Centro - Piacatu   16230-000 ",10,10
Piquete ,"Praça Dom Pedro I, 130 - Vila Celeste - Piquete   12620-000 ","Praça Dom Pedro I, 130 - Vila Celeste - Piquete   12620-000 ",10,10
Piracaia ,"Av. Cândido Rodrigues, 100 - Centro - Piracaia   12970-000 ","Av. Cândido Rodrigues, 100 - Centro - Piracaia   12970-000 ",10,10
Piracicaba ,"R. Dona Idalina, 314 - Paulicéia - Piracicaba   13400-900 ","R. Dona Idalina, 314 - Paulicéia - Piracicaba   13400-900 ",50,50
Pirajuí ,"Praça Doutor Pedro da Rocha Braga, 155 - Centro - Pirajuí - 16600-000 ","Praça Doutor Pedro da Rocha Braga, 155 - Centro - Pirajuí - 16600-000 ",10,10
Pirassununga ,"Av. Brasil, 1053 - Vila Esperança - Pirassununga   13635-104 ","Av. Brasil, 1053 - Vila Esperança - Pirassununga   13635-104 ",25,25
Pitangueiras ,"R. Reinaldo Consoli, 35 - Vila Caroni - Pitangueiras   14750-000 ","R. Reinaldo Consoli, 35 - Vila Caroni - Pitangueiras   14750-000 ",10,10
Poá ,"Av. Alfredo Maurício Varela, 41 - Vila Varela - Poá   08558-230 ","Av. Alfredo Maurício Varela, 41 - Vila Varela - Poá   08558-230 ",35,35
Pompéia ,"R. Epaminondas de Toledo Pizza, S/N - Centro - Pompeia - 17580-000 ","R. Epaminondas de Toledo Pizza, S/N - Centro - Pompeia - 17580-000 ",10,10
Pontal ,"R. João Totti, 824 - Village Tropical - Pontal   14180-000 ","R. João Totti, 824 - Village Tropical - Pontal   14180-000 ",15,15
Porangaba ,"R. Lazinho Nunes da Silva, 505 - Vista Alegre - Porangaba - 18260-000 ","R. Lazinho Nunes da Silva, 505 - Vista Alegre - Porangaba - 18260-000 ",10,10
Porto Feliz ,"R. Conego Belotti, 200 - Porto Feliz - Porto Feliz   18540-000 ","R. Conego Belotti, 200 - Porto Feliz - Porto Feliz   18540-000 ",15,15
Porto Ferreira ,"Av. Nicolau de Vergueiro Forjaz, 860 - Centro - Porto Ferreira - 13660-000 ","Av. Nicolau de Vergueiro Forjaz, 860 - Centro - Porto Ferreira - 13660-000 ",20,20
Potim ,"R. Rio Grande do Sul, 43 - Jardim Alvorada - Potim   12525-000 ","R. Rio Grande do Sul, 43 - Jardim Alvorada - Potim   12525-000 ",10,10
Pradopolis,"R. Presidente Vargas, 748 - Centro - Pradopolis   14850-000 ","R. Presidente Vargas, 748 - Centro - Pradopolis   14850-000 ",10,10
Presidente Bernardes ,"R. Arthur Hideki Yanai, 86 - Vila Ocidente - Presidente Bernardes   19300-000 ","R. Arthur Hideki Yanai, 86 - Vila Ocidente - Presidente Bernardes   19300-000 ",10,10
Presidente Epitácio ,"R. Antonio Venâncio Lopes, 8-81 - Jardim Aimara - Presidente Epitácio   19470-000 ","R. Antonio Venâncio Lopes, 8-81 - Jardim Aimara - Presidente Epitácio   19470-000 ",15,15
Presidente Prudente ,"Rod. Comendador Alberto Bonfiglioli, 2700 - Bonfiglioli - Presidente Prudente   19063-390 ","Rod. Comendador Alberto Bonfiglioli, 2700 - Bonfiglioli - Presidente Prudente   19063-390 ",50,50
Presidente Venceslau ,"R. Dom Pedro II, 787 - Centro - Presidente Venceslau - 19400- 000 ","R. Dom Pedro II, 787 - Centro - Presidente Venceslau - 19400- 000 ",10,10
Quatá ,"Av. Rodolfo Sebastião Giorgi, 244 - Centro - Quatá   19780-000 ","Av. Rodolfo Sebastião Giorgi, 244 - Centro - Quatá   19780-000 ",10,10
Queluz ,"Praça Padre Francisco Chagas Lima, 168 - Queluz - Queluz - 12800-000 ","Praça Padre Francisco Chagas Lima, 168 - Queluz - Queluz - 12800-000 ",10,10
Rancharia,"R. Marcilio Dias, 440 - Centro - Rancharia   19600-000 ","R. Marcilio Dias, 440 - Centro - Rancharia   19600-000 ",10,10
Redenção da Serra ,"Av. Nove de Julho, 60 - Centro - Redenção da Serra   12170-000 ","Av. Nove de Julho, 60 - Centro - Redenção da Serra   12170-000 ",10,10
Reginopolis,"R. Padre Moises de Miranda, 645 - Centro - Reginopolis - 17190- 000 ","R. Padre Moises de Miranda, 645 - Centro - Reginopolis - 17190- 000 ",10,10
Ribeirão Pires ,"R. Primeiro de Maio, 170 - Jardim Itacolomy - Ribeirão Pires - 09402-510 ","R. Primeiro de Maio, 170 - Jardim Itacolomy - Ribeirão Pires - 09402-510 ",35,35
Ribeirao Preto,"R. Alvares Cabral, 629 - Centro - Ribeirao Preto   14015-050 ","R. Alvares Cabral, 629 - Centro - Ribeirao Preto   14015-050 ",100,100
Rio Claro ,"R. 06 - Dr. Eloy Chaves, 3265 - Alto Santana - Rio Claro - 13504- 188 ","R. 06 - Dr. Eloy Chaves, 3265 - Alto Santana - Rio Claro - 13504- 188 ",50,50
Rio das Pedras ,"R. Adhemar de Barros, 550 - Centro - Rio das Pedras - 13390- 000 ","R. Adhemar de Barros, 550 - Centro - Rio das Pedras - 13390- 000 ",10,10
Riolândia ,"Av. Treze, 726 - Centro - Riolândia   15495-000 ","Av. Treze, 726 - Centro - Riolândia   15495-000 ",10,10
Rosana ,"R. São Paulo, 399 - Distrito de Primavera - Rosana   19274-000 ","R. São Paulo, 399 - Distrito de Primavera - Rosana   19274-000 ",10,10
Salesópolis ,"R. XV de Novembro, 1070 - Centro - Salesópolis   08970-000 ","R. XV de Novembro, 1070 - Centro - Salesópolis   08970-000 ",10,10
Saltinho ,"Av. Sete de Setembro, 1734 - Centro - Saltinho   13440-000 ","Av. Sete de Setembro, 1734 - Centro - Saltinho   13440-000 ",10,10
Salto ,"R. Francisco de Arruda Teixeira, 440 - Vila Flora - Salto - 13322- 000 ","R. Francisco de Arruda Teixeira, 440 - Vila Flora - Salto - 13322- 000 ",35,35
